run_id,project,config,workflow,stage,energy_joules,duration_seconds,timestamp,python_version
32654241041,httpie,C1,P01 HTTPie C1 Code Style,lint,73.8032,18.09,,
32654178575,gson,C2,P05 Gson C2 Tests,checkout,8.02991,1.83,,
32654178575,gson,C2,P05 Gson C2 Tests,test-execution,242.528,38.71,,
32654174541,resty,C1,P04 resty C1 Tests,checkout,4.1215,1.17,,
32654174541,resty,C1,P04 resty C1 Tests,dependency-installation,37.4938,9.78,,
32654174541,resty,C1,P04 resty C1 Tests,test-execution,182.264,80.75,,
32654082031,httpie,C2,P01 HTTPie C2 Code Style,checkout,3.96789,1.08,,
32654082031,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,50.6081,12.37,,
32654082031,httpie,C2,P01 HTTPie C2 Code Style,lint,68.4427,16.81,,
32653978388,httpie,C2,P01 HTTPie C2 Coverage,dependency-installation,81.5725,19.94,,
32653978388,httpie,C2,P01 HTTPie C2 Coverage,coverage,364.377,100.94,,
32653978388,httpie,C2,P01 HTTPie C2 Coverage,dist-test,78.1018,19.23,,
32653911543,gson,C2,P05 Gson C2 Tests,test-execution,210.602,32.77,,
32653904847,resty,C1,P04 resty C1 Tests,checkout,4.23401,1.37,,
32653904847,resty,C1,P04 resty C1 Tests,dependency-installation,75.2975,24.19,,
32653904847,resty,C1,P04 resty C1 Tests,test-execution,185.222,80.98,,
32653813471,httpie,C2,P01 HTTPie C2 Code Style,checkout,3.38422,1.17,,
32653813471,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,51.5439,12.71,,
32653813471,httpie,C2,P01 HTTPie C2 Code Style,lint,71.5363,17.54,,
32653712537,httpie,C2,P01 HTTPie C2 Coverage,checkout,3.27782,1.1,,
32653712537,httpie,C2,P01 HTTPie C2 Coverage,dependency-installation,80.5672,20.18,,
32653712537,httpie,C2,P01 HTTPie C2 Coverage,coverage,381.601,105.51,,
32653712537,httpie,C2,P01 HTTPie C2 Coverage,dist-test,80.4636,19.91,,
32653645458,gson,C2,P05 Gson C2 Tests,test-execution,224.057,34.75,,
32653639491,resty,C1,P04 resty C1 Tests,checkout,6.90977,1.87,,
32653639491,resty,C1,P04 resty C1 Tests,dependency-installation,39.2187,9.56,,
32653639491,resty,C1,P04 resty C1 Tests,test-execution,181.273,80.15,,
32653552052,httpie,C2,P01 HTTPie C2 Code Style,checkout,7.27755,1.67,,
32653552052,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,59.4974,13.37,,
32653552052,httpie,C2,P01 HTTPie C2 Code Style,lint,74.8605,17.32,,
32653441603,httpie,C2,P01 HTTPie C2 Coverage,dependency-installation,90.4755,22.53,,
32653441603,httpie,C2,P01 HTTPie C2 Coverage,coverage,369.76,103.01,,
32653441603,httpie,C2,P01 HTTPie C2 Coverage,dist-test,76.8989,19.11,,
32653374042,gson,C2,P05 Gson C2 Tests,checkout,4.52168,1.3,,
32653374042,gson,C2,P05 Gson C2 Tests,test-execution,199.295,32.2,,
32653368550,resty,C1,P04 resty C1 Tests,checkout,4.70752,1.34,,
32653368550,resty,C1,P04 resty C1 Tests,dependency-installation,45.2749,11.59,,
32653368550,resty,C1,P04 resty C1 Tests,test-execution,179.475,79.48,,
32653278115,httpie,C2,P01 HTTPie C2 Code Style,checkout,3.87349,1.11,,
32653278115,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,56.018,13.88,,
32653278115,httpie,C2,P01 HTTPie C2 Code Style,lint,71.1906,17.54,,
32653178946,httpie,C2,P01 HTTPie C2 Coverage,checkout,3.62383,1.2,,
